name,reg,city,dep,ast,url
INDIANHEAD CREDIT UNION,NCUA,Spooner,81540,98773,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_592091
TAYLOR CREDIT UNION,NCUA,Medford,79088,88431,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_784690
MARSHFIELD MEDICAL CENTER CREDIT UNION,NCUA,Marshfield,76259,93037,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_238296
SHEBOYGAN AREA CREDIT UNION,NCUA,Sheboygan,75898,90547,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_864891
FORWARD FINANCIAL CREDIT UNION,NCUA,Niagara,72671,85136,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_944298
FOND DU LAC CREDIT UNION,NCUA,Fond Du Lac,72628,84489,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_149495
BROKAW CREDIT UNION,NCUA,Weston,62536,71966,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_752792
AVESTAR CREDIT UNION,NCUA,Waterloo,58175,66482,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_922894
GUNDERSEN CREDIT UNION,NCUA,La Crosse,56156,65042,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_957391
MADISON CREDIT UNION,NCUA,Madison,55214,62597,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_672292
EVERGREEN CREDIT UNION,NCUA,Neenah,54792,63891,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_701295
FOCUS CREDIT UNION,NCUA,Menomonee Falls,52281,61260,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_33192
CENTRAL WISCONSIN CREDIT UNION,NCUA,Plover,48885,55163,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_141097
BADGER-GLOBE CREDIT UNION,NCUA,Neenah,45739,53394,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_213499
