name,reg,city,dep,ast,url
BANK OF SUN PRAIRIE,FDIC,Sun Prairie,587550,716609,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_124344
FORTIFI BANK,FDIC,Berlin,583932,722966,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_111942
DMB COMMUNITY BANK,FDIC,Madison,580196,830880,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_56548
NORTHWESTERN BANK,FED,Chippewa Falls,577225,711952,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_153054
WOODTRUST BANK,FED,Wisconsin Rapids,574444,707460,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_833749
ABBYBANK,FDIC,Abbotsford,565305,650667,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_198149
CHIPPEWA VALLEY BANK,FDIC,Hayward,556456,735498,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_779650
CITIZENS STATE BANK OF LA CROSSE,FDIC,La Crosse,531107,652985,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_447557
COMMUNITY FIRST BANK,FED,Boscobel,530940,637644,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_175140
UNITY BANK,FDIC,Augusta,516775,587615,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_443353
CAPITOL BANK,FDIC,Madison,497652,589397,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2339599
BARABOO STATE BANK,FED,Baraboo,496839,575159,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_24949
PREMIER COMMUNITY BANK,FDIC,Marion,495374,562240,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_597546
MOUND CITY BANK,FDIC,Platteville,470816,545892,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_259442
PREMIERBANK,FDIC,Fort Atkinson,456623,585975,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_907547
FIRST STATE BANK,FDIC,New London,456425,553584,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_801047
STATE BANK FINANCIAL,FED,La Crosse,451824,537110,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2631172
STATE BANK OF CHILTON,FDIC,Chilton,433403,512527,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_120542
COULEE BANK,FDIC,La Crosse,426700,524341,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_457752
CITIZENS STATE BANK,FDIC,Hudson,411208,488081,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_867856
FARMERS SAVINGS BANK,FDIC,Mineral Point,405960,457746,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_205346
"PYRAMAX BANK, FSB",OCC,Greenfield,402723,595181,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_713476
BANK OF LAKE MILLS,FDIC,Lake Mills,401023,530089,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_477349
OAK BANK,FDIC,Fitchburg,397575,462129,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2857600
WOODFORD STATE BANK,FDIC,Monroe,393758,509650,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_93244
BLC COMMUNITY BANK,FDIC,Little Chute,387184,475359,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_578741
OOSTBURG STATE BANK,FDIC,Oostburg,380755,429931,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_248745
FIRST CITIZENS STATE BANK,FDIC,Whitewater Wi,370088,511423,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_831642
AMERICAN NATIONAL BANK - FOX CITIES,OCC,Appleton,366383,434410,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2051127
BANK OF MAUSTON,FDIC,Mauston,362417,419823,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_601443
FORTE BANK,FDIC,Hartford,346227,407402,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_742944
THE PEOPLES COMMUNITY BANK,FDIC,Mazomanie,344681,393818,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_420644
THE BANK OF BRODHEAD,FED,Brodhead,336872,416677,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_517441
SPRING BANK,FDIC,Brookfield,329337,441881,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3721605
STERLING BANK,FDIC,Barron,318906,355833,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_628356
SHELL LAKE STATE BANK,FDIC,Shell Lake,309896,357524,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_896155
WOLF RIVER COMMUNITY BANK,FDIC,Hortonville,307443,378146,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2505424
FIRST NATIONAL COMMUNITY BANK,OCC,New Richmond,304143,336799,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_23755
FOX VALLEY SAVINGS BANK,FDIC,Fond Du Lac,304022,383905,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_835770
WAUMANDEE STATE BANK,FDIC,Waumandee,303517,350631,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_780955
"THE EQUITABLE BANK, S.S.B.",FDIC,Wauwatosa,296086,326863,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_336576
NORTHERN STATE BANK,FDIC,Ashland,295604,328842,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_625757
THE FIRST NATIONAL BANK OF RIVER FALLS,OCC,River Falls,287909,325888,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_956255
"CLARE BANK, NATIONAL ASSOCIATION",OCC,Platteville,286713,342755,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_988144
CITIZENS FIRST BANK,FDIC,Viroqua,282194,344168,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_716954
WEST POINTE BANK,FDIC,Oshkosh,266044,374108,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2371816
LAONA STATE BANK,FDIC,Laona,265231,289711,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_178150
"CUMBERLAND FEDERAL BANK, FSB",OCC,Cumberland,262145,328621,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_28675
STATE BANK OF NEWBURG,FDIC,Newburg,259788,330893,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_228345
BAY BANK,FDIC,Green Bay,259308,312693,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2329200
THE PESHTIGO NATIONAL BANK,OCC,Peshtigo,257112,299354,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_257345
COLLINS STATE BANK,FDIC,Collins,254468,288247,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_219044
CITIZENS STATE BANK OF LOYAL,FDIC,Loyal,242765,307286,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_479446
THE FARMERS STATE BANK OF WAUPACA,FED,Waupaca,242233,275930,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_879747
