Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
21,Comerica Bank,Out-of-state bank with CA branches (SOD),Dallas,TX,14908067,80052000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_60143,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | Charter inactive 2026-02-01 (merged into Fifth Third Bank, N.A.) | 85 CA offices"
22,"Pacific Premier Bank, National Association",Out-of-state bank with CA branches (SOD),Irvine,CA,13467773,17783977,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_431172,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | Charter inactive 2025-09-01 (merged into Columbia Bank / Columbia Banking System) | 44 CA offices"
23,"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",Bank,San Francisco,CA,12639000,15126000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1443266,,cache 2026-06-10,Y,
24,"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,CA,12002449,15511016,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_933966,,cache 2026-06-10,Y,
25,FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,CA,8938167,11856598,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_871769,,cache 2026-06-10,Y,
26,FIRST FOUNDATION BANK,Bank,Irvine,CA,8783466,11343543,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3637685,,cache 2026-06-10,Y,
27,REDWOOD CREDIT UNION,Credit Union,Santa Rosa,CA,8560969,9946470,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_238791,,cache 2026-06-10,Y,
28,TRI COUNTIES BANK,Bank,Chico,CA,8408678,9946447,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_100562,,cache 2026-06-10,Y,
29,PATELCO CREDIT UNION,Credit Union,Dublin,CA,8288036,9617000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_461496,,cache 2026-06-10,Y,
30,STAR ONE CREDIT UNION,Credit Union,Sunnyvale,CA,8244608,9584478,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_472988,,cache 2026-06-10,Y,
31,LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,CA,8192822,9716130,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_284378,,cache 2026-06-10,Y,
32,"FIRST AMERICAN TRUST, FSB",Savings Institution (Federal Savings Bank),Santa Ana,CA,7801359,8323217,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1883321,,cache 2026-06-10,Y,
33,"PNC Bank, National Association",Out-of-state bank with CA branches (SOD),Wilmington,DE,7798464,567948516,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_817824,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 56 CA offices"
34,SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,CA,7569256,9382858,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_301190,,cache 2026-06-10,Y,
35,Umpqua Bank,Out-of-state bank with CA branches (SOD),Roseburg,OR,7124985,66011146,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_143662,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | see fill note: Umpqua Bank merged/renamed into Columbia Bank (CERT 17266); figures are Columbia Bank; FDIC $K: ASSET=66,011,146 DEP=53,614,966 (Columbia Bank, Roseburg, OR); e | 61 CA offices"
36,HANMI BANK,Bank,Los Angeles,CA,6801918,7789627,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_657365,,cache 2026-06-10,Y,
37,SMBC MANUBANK,Bank,Los Angeles,CA,6731415,7728868,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_930965,,cache 2026-06-10,Y,
38,PREFERRED BANK,Bank,Los Angeles,CA,6432233,7655086,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1918344,,cache 2026-06-10,Y,
39,MISSION FEDERAL CREDIT UNION,Credit Union,San Diego,CA,6318213,7232363,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_133186,,cache 2026-06-10,Y,
40,POPPY BANK,Bank,Santa Rosa,CA,6015080,7796215,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3232204,,cache 2026-06-10,Y,
41,KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,CA,5720278,6443715,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_277473,,cache 2026-06-10,Y,
42,RIVER CITY BANK,Bank,Sacramento,CA,5386542,6047747,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_253468,,cache 2026-06-10,Y,
43,FREMONT BANK,Bank,Fremont,CA,5269655,5915963,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_739560,,cache 2026-06-10,Y,
44,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Bank,Lodi,CA,5120775,5836466,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_808260,,cache 2026-06-10,Y,
45,CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,CA,4866121,5413638,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_234597,,cache 2026-06-10,Y,
46,HERITAGE BANK OF COMMERCE,Bank,San Jose,CA,4821348,5670019,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2209553,,cache 2026-06-10,Y,
47,Enterprise Bank & Trust,Out-of-state bank with CA branches (SOD),Clayton,MO,4811960,17196325,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1190476,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 8 CA offices"
48,WESTAMERICA BANK,Bank,San Rafael,CA,4788155,5827278,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_697763,,cache 2026-06-10,Y,
49,CHEVRON FEDERAL CREDIT UNION,Credit Union,Concord,CA,4770863,5440107,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_414894,,cache 2026-06-10,Y,
50,TRAVIS CREDIT UNION,Credit Union,Vacaville,CA,4734336,5687904,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_212586,,cache 2026-06-10,Y,
51,EDUCATIONAL EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,4616425,5376699,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_504898,,cache 2026-06-10,Y,
52,CTBC BANK CORP. (USA),Bank,Los Angeles,CA,4546301,5369932,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996260,,cache 2026-06-10,Y,
53,FIVE STAR BANK,Bank,Roseville,CA,4480237,5031561,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2867337,,cache 2026-06-10,Y,
54,WESCOM CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,4397749,6472794,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_344692,,cache 2026-06-10,Y,
55,SAFE CREDIT UNION,Credit Union,Folsom,CA,3990691,4451527,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_324779,,cache 2026-06-10,Y,
56,AMERICAN BUSINESS BANK,Bank,Los Angeles,CA,3904079,4371214,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2734729,,cache 2026-06-10,Y,
57,Washington Federal Bank,Out-of-state bank with CA branches (SOD),Seattle,WA,3886981,27552061,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_656377,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 11 CA offices"
58,TECHNOLOGY CREDIT UNION,Credit Union,San Jose,CA,3762517,4655194,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_171889,,cache 2026-06-10,Y,
59,BANK OF STOCKTON,Bank,Stockton,CA,3754998,4834846,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_479268,,cache 2026-06-10,Y,
60,"Citizens Bank, National Association",Out-of-state bank with CA branches (SOD),Providence,RI,3715621,227134099,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3303298,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
61,STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,CA,3709005,4800514,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_640880,,cache 2026-06-10,Y,
62,VALLEY STRONG CREDIT UNION,Credit Union,Bakersfield,CA,3642703,4074429,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_511579,,cache 2026-06-10,Y,
63,BANK OF MARIN,Bank,Novato,CA,3458796,3913468,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1436204,,cache 2026-06-10,Y,
64,"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,CA,3402697,4046537,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3076453,,cache 2026-06-10,Y,
65,COMMERCIAL BANK OF CALIFORNIA,Bank,Irvine,CA,3390468,3899410,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3189063,,cache 2026-06-10,Y,
66,ROYAL BUSINESS BANK,Bank,Los Angeles,CA,3385924,4186507,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3835454,,cache 2026-06-10,Y,
67,"Mizrahi Tefahot Bank, Ltd.",Out-of-state bank with CA branches (SOD),Los Angeles,CA,3309713,6838922,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_887461,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
68,NUVISION FEDERAL CREDIT UNION,Credit Union,Huntington Beac,CA,3297429,3935777,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_973775,,cache 2026-06-10,Y,
69,PROVIDENT CREDIT UNION,Credit Union,Redwood City,CA,3191602,3625344,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_629090,,cache 2026-06-10,Y,
70,First Bank,Out-of-state bank with CA branches (SOD),St. Louis,MO,3168933,6691682,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_169653,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 45 CA offices"
71,COMMUNITY WEST BANK,Bank,Fresno,CA,3147540,3697225,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_703767,,cache 2026-06-10,Y,
72,"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),Hicksville,NY,3126219,87128815,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_694904,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 16 CA offices"
73,"CREDIT UNION OF SOUTHERN CA, A",Credit Union,Anaheim,CA,3110791,3942854,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_47489,,cache 2026-06-10,Y,
74,CALIFORNIA COAST CREDIT UNION,Credit Union,San Diego,CA,3058434,3469511,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_471196,,cache 2026-06-10,Y,
75,PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,CA,2934356,3313106,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_96487,,cache 2026-06-10,Y,
76,BANK OF THE SIERRA,Bank,Porterville,CA,2932864,3751904,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_662369,,cache 2026-06-10,Y,
77,PCB BANK,Bank,Los Angeles,CA,2898675,3395119,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3212402,,cache 2026-06-10,Y,
78,EXCHANGE BANK,Bank,Santa Rosa,CA,2837604,3266467,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_507068,,cache 2026-06-10,Y,
79,Banner Bank,Out-of-state bank with CA branches (SOD),Walla Walla,WA,2610504,16338071,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_352772,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 30 CA offices"
80,ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,2584116,3074686,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_980698,,cache 2026-06-10,Y,
81,WEST COAST COMMUNITY BANK,Bank,Santa Cruz,CA,2476069,2895001,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3235410,,cache 2026-06-10,Y,
82,PARTNERS FEDERAL CREDIT UNION,Credit Union,Burbank,CA,2446780,2799230,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_761486,,cache 2026-06-10,Y,
83,Sunwest Bank,Out-of-state bank with CA branches (SOD),Sandy,UT,2421811,4270088,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_140362,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
84,ARROWHEAD FEDERAL CREDIT UNION,Credit Union,Rancho Cucamong,CA,2404987,2905839,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_498894,,cache 2026-06-10,Y,
85,ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,CA,2386844,2665893,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_866792,,cache 2026-06-10,Y,
86,CALPRIVATE BANK,Bank,La Jolla,CA,2375837,2693463,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3545258,,cache 2026-06-10,Y,
87,OPEN BANK,Bank,Los Angeles,CA,2328101,2699382,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3357219,,cache 2026-06-10,Y,
88,UNITED BUSINESS BANK,Bank,Walnut Creek,CA,2267047,2632362,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3281510,,cache 2026-06-10,Y,
89,MidFirst Bank,Out-of-state bank with CA branches (SOD),Oklahoma City,OK,2259863,42109827,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_595270,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 5 CA offices"
