Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
115,FRONTWAVE CREDIT UNION,Credit Union,Oceanside,CA,1446543,1764704,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_514785,,cache 2026-06-10,Y,
116,KEYPOINT CREDIT UNION,Credit Union,San Jose,CA,1403675,1701238,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550091,,cache 2026-06-10,Y,
117,OPERATING ENGINEERS LOCAL UNION #3 FEDERAL CREDIT UNION,Credit Union,Livermore,CA,1402578,1650775,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_63993,,cache 2026-06-10,Y,
118,HomeStreet Bank,Out-of-state bank with CA branches (SOD),Walnut Creek,CA,1400139,21403986,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_258771,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | see fill note: HomeStreet Bank merged into Mechanics Bank (CERT 1768) in 2025; figures are Mechanics Bank; FDIC $K: ASSET=21,403,986 DEP=18,251,541 (Mechanics Bank, Walnut Cre | 22 CA offices"
119,US METRO BANK,Bank,Garden Grove,CA,1362873,1563129,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3470154,,cache 2026-06-10,Y,
120,FFB BANK,Bank,Fresno,CA,1345950,1571464,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3398623,,cache 2026-06-10,Y,
121,SIERRA CENTRAL CREDIT UNION,Credit Union,Yuba City,CA,1339334,1496982,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_581992,,cache 2026-06-10,Y,
122,VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,CA,1303082,1467597,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_987286,,cache 2026-06-10,Y,
123,AMERICAN RIVIERA BANK,Bank,Santa Barbara,CA,1268061,1422849,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3388482,,cache 2026-06-10,Y,
124,LOS ANGELES POLICE FEDERAL CREDIT UNION,Credit Union,Van Nuys,CA,1265776,1402267,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_758495,,cache 2026-06-10,Y,
125,CHRISTIAN COMMUNITY CREDIT UNION,Credit Union,San Dimas,CA,1236810,1443573,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_604293,,cache 2026-06-10,Y,
126,"UMB Bank, National Association",Out-of-state bank with CA branches (SOD),Kansas City,MO,1202740,72349509,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_936855,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 7 CA offices"
127,SAN FRANCISCO FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,1194502,1582268,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_642594,,cache 2026-06-10,Y,
128,STATE BANK OF INDIA (CALIFORNIA),Bank,Los Angeles,CA,1189577,1394366,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_779968,,cache 2026-06-10,Y,
129,COLUMN NATIONAL ASSOCIATION,Bank,Chico,CA,1184551,1388684,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3435948,,cache 2026-06-10,Y,
130,FARMERS INSURANCE FEDERAL CREDIT UNION,Credit Union,Burbank,CA,1162631,1366674,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_772576,,cache 2026-06-10,Y,
131,AMERICAN FIRST CREDIT UNION,Credit Union,Brea,CA,1155644,1310342,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_452186,,cache 2026-06-10,Y,
132,LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,CA,1146363,1278292,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_227272,,cache 2026-06-10,Y,
133,NOBLE FEDERAL CREDIT UNION,Credit Union,Fresno,CA,1139517,1494031,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_575290,,cache 2026-06-10,Y,
134,SESLOC CREDIT UNION,Credit Union,San Luis Obispo,CA,1124366,1252419,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37079,,cache 2026-06-10,Y,
135,PACIFIC SERVICE CREDIT UNION,Credit Union,Concord,CA,1121940,1345715,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_673299,,cache 2026-06-10,Y,
136,1ST UNITED CREDIT UNION,Credit Union,Pleasanton,CA,1099282,1253077,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_40190,,cache 2026-06-10,Y,
137,COMMERCE WEST BANK,Bank,Irvine,CA,1092294,1243344,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3052813,,cache 2026-06-10,Y,
138,SOUTHLAND CREDIT UNION,Credit Union,Los Alamitos,CA,1067283,1292892,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_673691,,cache 2026-06-10,Y,
139,RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,CA,1060948,1309314,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_161086,,cache 2026-06-10,Y,
140,UNITED SECURITY BANK,Bank,Fresno,CA,1059462,1216537,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1162017,,cache 2026-06-10,Y,
141,HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,CA,1041171,1204193,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_453286,,cache 2026-06-10,Y,
142,SAVINGS BANK OF MENDOCINO COUNTY,Bank,Ukiah,CA,1040520,1293076,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_146663,,cache 2026-06-10,Y,
143,BLUPEAK CREDIT UNION,Credit Union,San Diego,CA,1031025,1128147,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_243197,,cache 2026-06-10,Y,
144,UNIVERSITY CREDIT UNION,Credit Union,Los Angeles,CA,1010441,1187569,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_321899,,cache 2026-06-10,Y,
145,BANK OF THE ORIENT,Bank,San Francisco,CA,996322,1160267,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_777366,,cache 2026-06-10,Y,
146,SAFE 1 CREDIT UNION,Credit Union,Bakersfield,CA,958618,1120422,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_30098,,cache 2026-06-10,Y,
147,MALAGA BANK F.S.B.,Savings Institution (Federal Savings Bank),Palos Verdes Estates,CA,940516,1442083,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_773470,,cache 2026-06-10,Y,
148,THE POLICE CREDIT UNION,Credit Union,San Bruno,CA,936056,1054903,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_388490,,cache 2026-06-10,Y,
149,VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,CA,926404,1108042,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_617882,,cache 2026-06-10,Y,
150,MIRASTAR FEDERAL CREDIT UNION,Credit Union,San Jose,CA,914626,1036195,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_438797,,cache 2026-06-10,Y,
151,"Industrial and Commercial Bank of China USA, National Association",Out-of-state bank with CA branches (SOD),New York,NY,908379,2864973,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1015560,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 10 CA offices"
152,"PROVIDENT SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Riverside,CA,901388,1217531,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_631570,,cache 2026-06-10,Y,
153,ALTAONE FEDERAL CREDIT UNION,Credit Union,Ridgecrest,CA,880101,974029,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1000173,,cache 2026-06-10,Y,
154,SUMMIT STATE BANK,Bank,Santa Rosa,CA,879259,995922,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_561574,,cache 2026-06-10,Y,
155,HCN BANK,Bank,Riverside,CA,852684,974149,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_183668,,cache 2026-06-10,Y,
156,Israel Discount Bank of New York,Out-of-state bank with CA branches (SOD),New York,NY,840384,13986756,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_320119,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
157,EVERTRUST BANK,Bank,City Of Industry,CA,839626,1114478,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2297998,,cache 2026-06-10,Y,
158,WATER AND POWER COMMUNITY CREDIT UNION,Credit Union,Los Angeles,CA,834545,990764,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_425993,,cache 2026-06-10,Y,
159,GOLDEN STATE BANK,Bank,Glendale,CA,828311,974262,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3224375,,cache 2026-06-10,Y,
160,PINNACLE BANK,Bank,Gilroy,CA,823506,945774,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3455227,,cache 2026-06-10,Y,
161,FIRST CITY CREDIT UNION,Credit Union,Pasadena,CA,818167,952449,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1004779,,cache 2026-06-10,Y,
162,COMMUNITY FIRST CREDIT UNION,Credit Union,Santa Rosa,CA,817032,922089,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_64897,,cache 2026-06-10,Y,
163,FIRST GENERAL BANK,Bank,Rowland Heights,CA,811904,1141218,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3386264,,cache 2026-06-10,Y,
164,SUN COMMUNITY FEDERAL CREDIT UNION,Credit Union,El Centro,CA,806837,896541,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_348485,,cache 2026-06-10,Y,
165,MERCED SCHOOL EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Merced,CA,795116,897525,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_341682,,cache 2026-06-10,Y,
166,NANO BANC,Bank,Irvine,CA,789703,859584,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3635029,,cache 2026-06-10,Y,
167,"C3BANK, NATIONAL ASSOCIATION",Bank,Encinitas,CA,770996,882652,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_754068,,cache 2026-06-10,Y,
168,SKYONE FEDERAL CREDIT UNION,Credit Union,Hawthorne,CA,731080,875824,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1017087,,cache 2026-06-10,Y,
169,AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,CA,725964,818406,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_773386,,cache 2026-06-10,Y,
170,THE FIRST FINANCIAL FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,725371,746456,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_144089,,cache 2026-06-10,Y,
171,CERTIFIED FEDERAL CREDIT UNION,Credit Union,El Monte,CA,720823,919973,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_345886,,cache 2026-06-10,Y,
172,SACRAMENTO CREDIT UNION,Credit Union,Sacramento,CA,719015,851939,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_734293,,cache 2026-06-10,Y,
173,1ST NORTHERN CALIFORNIA CREDIT UNION,Credit Union,Martinez,CA,718336,825393,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_11387,,cache 2026-06-10,Y,
174,"AMERICAN PLUS BANK, N.A.",Bank,Arcadia,CA,716600,890687,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3623110,,cache 2026-06-10,Y,
175,ENDEAVOR BANK,Bank,San Diego,CA,709408,805315,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5192496,,cache 2026-06-10,Y,
176,BAC COMMUNITY BANK,Bank,Stockton,CA,684849,780102,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5461,,cache 2026-06-10,Y,
177,OCEANAIR FEDERAL CREDIT UNION,Credit Union,Oxnard,CA,683443,870760,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_318684,,cache 2026-06-10,Y,
178,RIVER VALLEY COMMUNITY BANK,Bank,Yuba City,CA,670456,764212,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3451050,,cache 2026-06-10,Y,
179,FIRST COMMERCIAL BANK (USA),Bank,Alhambra,CA,670130,871581,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2332910,,cache 2026-06-10,Y,
180,BANK OF SAN FRANCISCO,Bank,San Francisco,CA,670003,767510,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3357385,,cache 2026-06-10,Y,
181,FOOTHILL FEDERAL CREDIT UNION,Credit Union,Arcadia,CA,668508,772237,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_333182,,cache 2026-06-10,Y,
182,UNCLE CREDIT UNION,Credit Union,Livermore,CA,663677,738043,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_363693,,cache 2026-06-10,Y,
183,MISSION VALLEY BANK,Bank,Sun Valley,CA,632141,772560,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3039636,,cache 2026-06-10,Y,
184,USC CREDIT UNION,Credit Union,Los Angeles,CA,631164,719189,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_240084,,cache 2026-06-10,Y,
185,"Golden Bank, National Association",Out-of-state bank with CA branches (SOD),Houston,TX,630355,2248800,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_536059,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 6 CA offices"
186,Habib American Bank,Out-of-state bank with CA branches (SOD),New York,NY,612187,2977085,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_245016,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
187,MYPOINT CREDIT UNION,Credit Union,San Diego,CA,585195,701059,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_568274,,cache 2026-06-10,Y,
188,Cornerstone Community Bank,Out-of-state bank with CA branches (SOD),Red Bluff,CA,580953,658098,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3485420,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | Charter inactive 2025-07-01 (acquired by Plumas Bank) | 4 CA offices"
189,EXCITE CREDIT UNION,Credit Union,San Jose,CA,576946,615237,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550288,,cache 2026-06-10,Y,
190,Woori America Bank,Out-of-state bank with CA branches (SOD),New York,NY,572636,4041585,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_384018,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 6 CA offices"
191,PACIFIC COAST BANKERS' BANK,Bank,Walnut Creek,CA,559752,1084528,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2451240,,cache 2026-06-10,Y,
192,PREMIER ONE CREDIT UNION,Credit Union,San Jose,CA,558082,656413,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_197384,,cache 2026-06-10,Y,
193,I.L.W.U. FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,546856,601927,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1875157,,cache 2026-06-10,Y,
194,PACIFIC VALLEY BANK,Bank,Salinas,CA,546200,627944,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3293540,,cache 2026-06-10,Y,
195,COMMONWEALTH CENTRAL CREDIT UNION,Credit Union,San Jose,CA,533064,626858,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37994,,cache 2026-06-10,Y,
196,GOLDEN VALLEY BANK,Bank,Chico,CA,525767,577734,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3440803,,cache 2026-06-10,Y,
197,GBC INTERNATIONAL BANK,Bank,Los Angeles,CA,522816,676588,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_972769,,cache 2026-06-10,Y,
198,CABRILLO CREDIT UNION,Credit Union,San Diego,CA,511775,571809,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_198783,,cache 2026-06-10,Y,
199,FIRST U.S. COMMUNITY CREDIT UNION,Credit Union,Sacramento,CA,490051,554171,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1016370,,cache 2026-06-10,Y,
200,REDWOOD CAPITAL BANK,Bank,Eureka,CA,484145,543402,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3247589,,cache 2026-06-10,Y,
201,PARTNERS BANK OF CALIFORNIA,Bank,Mission Viejo,CA,482189,614543,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3655933,,cache 2026-06-10,Y,
202,Shinhan Bank America,Out-of-state bank with CA branches (SOD),New York,NY,478280,1972804,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1494914,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 5 CA offices"
203,OneUnited Bank,Out-of-state bank with CA branches (SOD),Boston,MA,476360,609027,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935308,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
204,MEGA BANK,Bank,San Gabriel,CA,437435,515129,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3690635,,cache 2026-06-10,Y,
205,American First National Bank,Out-of-state bank with CA branches (SOD),Houston,TX,419284,2864702,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2694681,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
206,GAIN FEDERAL CREDIT UNION,Credit Union,Burbank,CA,409985,439329,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_256571,,cache 2026-06-10,Y,
207,FIRST PACIFIC BANK,Bank,Whittier,CA,409799,489849,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3470930,,cache 2026-06-10,Y,
208,WHEELHOUSE CREDIT UNION,Credit Union,San Diego,CA,400445,456771,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_393298,,cache 2026-06-10,Y,
209,Amalgamated Bank,Out-of-state bank with CA branches (SOD),New York,NY,397338,9168378,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_661308,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
210,MOCSE FEDERAL CREDIT UNION,Credit Union,Modesto,CA,396495,430486,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_169381,,cache 2026-06-10,Y,
211,"CHINO COMMERCIAL BANK, N.A.",Bank,Chino,CA,388102,465786,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2925620,,cache 2026-06-10,Y,
212,"NEW OMNI BANK, NATIONAL ASSOCIATION",Bank,Alhambra,CA,371245,515271,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_300063,,cache 2026-06-10,Y,
213,PACIFIC ALLIANCE BANK,Bank,San Gabriel,CA,366529,450670,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3546862,,cache 2026-06-10,Y,
214,CAHP CREDIT UNION,Credit Union,Sacramento,CA,365689,403972,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_839899,,cache 2026-06-10,Y,
215,EAGLE COMMUNITY CREDIT UNION,Credit Union,Lake Forest,CA,365601,411441,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_610294,,cache 2026-06-10,Y,
216,GLENDALE AREA SCHOOLS CREDIT UNION,Credit Union,Glendale,CA,364073,421655,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_172279,,cache 2026-06-10,Y,
217,BALBOA THRIFT AND LOAN ASSOCIATION,Industrial Loan Company,Chula Vista,CA,361152,408010,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_696168,,cache 2026-06-10,Y,Industrial Loan Company (ILC) per ibanknet
218,COMMUNITY BANK OF SANTA MARIA,Bank,Santa Maria,CA,357053,405124,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2997216,,cache 2026-06-10,Y,
219,GENESIS BANK,Bank,Newport Beach,CA,356609,405513,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5620869,,cache 2026-06-10,Y,
220,POPA FEDERAL CREDIT UNION,Credit Union,Cerritos,CA,355946,399420,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_139281,,cache 2026-06-10,Y,
221,YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,CA,344210,410982,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_286680,,cache 2026-06-10,Y,
222,INFINITY BANK,Bank,Santa Ana,CA,343655,392898,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5193989,,cache 2026-06-10,Y,
223,"LIBERTY BANK, NATIONAL ASSOCIATION",Bank,Irvine,CA,336353,396466,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2907439,,cache 2026-06-10,Y,
224,PASADENA FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,329246,381308,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_790879,,cache 2026-06-10,Y,
225,AEROSPACE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,326934,422785,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792284,,cache 2026-06-10,Y,
226,MATADORS COMMUNITY CREDIT UNION,Credit Union,Northridge,CA,316715,359948,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_391481,,cache 2026-06-10,Y,
227,MONTEREY CREDIT UNION,Credit Union,Monterey,CA,316246,356957,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_940188,,cache 2026-06-10,Y,
228,COMMUNITY COMMERCE BANK,Industrial Loan Company,Claremont,CA,311987,413501,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_299868,,cache 2026-06-10,Y,Industrial Loan Company (ILC) per ibanknet
229,AMERICAN CONTINENTAL BANK,Bank,City Of Industry,CA,311254,379100,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3216316,,cache 2026-06-10,Y,
230,TUCOEMAS FEDERAL CREDIT UNION,Credit Union,Visalia,CA,305226,336861,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_814672,,cache 2026-06-10,Y,
231,SEA WEST COAST GUARD FEDERAL CREDIT UNION,Credit Union,Oakland,CA,304015,381797,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_579887,,cache 2026-06-10,Y,
232,UME FEDERAL CREDIT UNION,Credit Union,Burbank,CA,303870,334142,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_439477,,cache 2026-06-10,Y,
233,MURPHY BANK,Bank,Fresno,CA,297968,359587,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_855563,,cache 2026-06-10,Y,
234,STRATA FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,293851,345954,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_237776,,cache 2026-06-10,Y,
235,SAG-AFTRA FEDERAL CREDIT UNION,Credit Union,Burbank,CA,293663,340595,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_141985,,cache 2026-06-10,Y,
236,Community Valley Bank,Out-of-state bank with CA branches (SOD),El Centro,CA,285457,324699,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3637706,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | Charter inactive 2026-03-31 (merger) | 5 CA offices"
237,UNIVERSAL BANK,Savings Institution (Federal Savings Bank),West Covina,CA,278512,373408,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_208570,,cache 2026-06-10,Y,
238,DOWNEY FEDERAL CREDIT UNION,Credit Union,Downey,CA,268047,331199,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_952985,,cache 2026-06-10,Y,
239,SANTA BARBARA TEACHERS FEDERAL CREDIT UNION,Credit Union,Santa Barbara,CA,266368,309564,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_192679,,cache 2026-06-10,Y,
240,FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,Credit Union,Hanford,CA,261901,328114,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_310585,,cache 2026-06-10,Y,
241,FIRST CREDIT BANK,Bank,West Hollywood,CA,257910,504745,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5069,,cache 2026-06-10,Y,
242,EDWARDS FEDERAL CREDIT UNION,Credit Union,Edwards,CA,255937,278913,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_656984,,cache 2026-06-10,Y,
