Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
566,NUVISION,Huntington Beac,CA,3935777489,,5,0,0,7,0,2,14,LA+OC+SD,PRIORITY-4CTY,IN_V5,charter match: NUVISION,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
66584,CALIFORNIA COAST,San Diego,CA,3469511167,,0,0,4,0,0,23,27,Riv+SD,PRIORITY-4CTY,IN_V5,charter match: CALIFORNIA COAST,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68428,PREMIER AMERICA,Chatsworth,CA,3313105523,,11,0,0,0,8,0,19,LA+Ventura,PRIORITY-4CTY,IN_V5,charter match: PREMIER AMERICA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24981,ORANGE COUNTY'S,Santa Ana,CA,3074685797,,1,1,0,10,0,0,12,LA+SB+OC,PRIORITY-4CTY,IN_V5,charter match: ORANGE COUNTY'S,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1493,F & A,Monterey Park,CA,3056609908,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: F & A,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24973,ARROWHEAD,Rancho Cucamong,CA,2905838677,,2,16,2,0,0,0,20,LA+SB+Riv,PRIORITY-4CTY,IN_V5,charter match: ARROWHEAD,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
18708,PARTNERS,Burbank,CA,2799229823,,4,0,0,4,0,0,8,LA+OC,PRIORITY-4CTY,IN_V5,charter match: PARTNERS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
62715,TOGETHER,Saint Louis,MO,2722399325,Y,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: TOGETHER,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24969,ALTURA,Riverside,CA,2665893053,,0,0,24,0,0,0,24,Riv,PRIORITY-4CTY,IN_V5,charter match: ALTURA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24877,FIREFIGHTERS FIRST,Los Angeles,CA,2470349300,,3,1,1,1,1,0,7,LA+SB+Riv+OC+Ventura,PRIORITY-4CTY,IN_V5,charter match: FIREFIGHTERS FIRST,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24802,SELF-HELP,Durham,NC,2405735320,Y,2,0,0,0,0,1,3,LA+SD,PRIORITY-4CTY,IN_V5,charter match: SELF-HELP,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68457,FINANCIAL PARTNERS,Downey,CA,2247378836,,5,1,0,7,0,1,14,LA+SB+OC+SD,PRIORITY-4CTY,IN_V5,charter match: FINANCIAL PARTNERS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68460,LBS FINANCIAL,Long Beach,CA,2191340672,,7,0,0,1,0,0,8,LA+OC,PRIORITY-4CTY,IN_V5,charter match: LBS FINANCIAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
6681,CALTECH EMPLOYEES,La Canada,CA,2176332001,,4,0,0,0,0,0,4,LA,PRIORITY-4CTY,IN_V5,charter match: CALTECH EMPLOYEES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68373,FIRST ENTERTAINMENT,Hollywood,CA,2122095658,,7,0,0,0,0,0,7,LA,PRIORITY-4CTY,IN_V5,charter match: FIRST ENTERTAINMENT,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68494,FRONTWAVE,Oceanside,CA,1764704265,,0,3,3,0,0,10,16,SB+Riv+SD,PRIORITY-4CTY,IN_V5,charter match: FRONTWAVE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24808,SKYLA,Charlotte,NC,1656044095,Y,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: SKYLA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
