Name,Type,City,State,Assets,Deposits,ibanknet_URL,v5_status,Match_note,Regulator,Source_note,Retrieval_date
EVERTRUST BANK,Bank,City Of Industry,CA,1114478,839626,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2297998,IN_V5,exact: EverTrust Bank,FDIC,,2026-06-10
VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,CA,1108042,926404,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_617882,NEW_GAP,,NCUA,,2026-06-10
PACIFIC COAST BANKERS' BANK,Bank,Walnut Creek,CA,1084528,559752,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2451240,IN_V5,exact: Pacific Coast Bankers' Bank (PCBB),FED,,2026-06-10
THE POLICE CREDIT UNION,Credit Union,San Bruno,CA,1054903,936056,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_388490,NEW_GAP,,NCUA,,2026-06-10
MIRASTAR FEDERAL CREDIT UNION,Credit Union,San Jose,CA,1036195,914626,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_438797,NEW_GAP,,NCUA,,2026-06-10
SUMMIT STATE BANK,Bank,Santa Rosa,CA,995922,879259,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_561574,IN_V5,exact: Summit State Bank,FDIC,,2026-06-10
WATER AND POWER COMMUNITY CREDIT UNION,Credit Union,Los Angeles,CA,990764,834545,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_425993,IN_V5,exact: Water and Power Community Credit Union,NCUA,,2026-06-10
GOLDEN STATE BANK,Bank,Glendale,CA,974262,828311,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3224375,IN_V5,exact: Golden State Bank,FDIC,,2026-06-10
HCN BANK,Bank,Riverside,CA,974149,852684,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_183668,IN_V5,exact: HCN Bank,FDIC,,2026-06-10
ALTAONE FEDERAL CREDIT UNION,Credit Union,Ridgecrest,CA,974029,880101,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1000173,NEW_GAP,,NCUA,,2026-06-10
FIRST CITY CREDIT UNION,Credit Union,Pasadena,CA,952449,818167,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1004779,IN_V5,exact: First City Credit Union,NCUA,,2026-06-10
PINNACLE BANK,Bank,Gilroy,CA,945774,823506,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3455227,IN_V5,"exact: Pinnacle Bank (Gilroy, CA)",FDIC,,2026-06-10
COMMUNITY FIRST CREDIT UNION,Credit Union,Santa Rosa,CA,922089,817032,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_64897,NEW_GAP,,NCUA,,2026-06-10
CERTIFIED FEDERAL CREDIT UNION,Credit Union,El Monte,CA,919973,720823,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_345886,IN_V5,core match: CERTIFIED,NCUA,,2026-06-10
MERCED SCHOOL EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Merced,CA,897525,795116,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_341682,NEW_GAP,,NCUA,,2026-06-10
SUN COMMUNITY FEDERAL CREDIT UNION,Credit Union,El Centro,CA,896541,806837,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_348485,IN_V5,core match: SUN COMMUNITY,NCUA,,2026-06-10
"AMERICAN PLUS BANK, N.A.",Bank,Arcadia,CA,890687,716600,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3623110,IN_V5,"exact: American Plus Bank, N.A.",OCC,,2026-06-10
"C3BANK, NATIONAL ASSOCIATION",Bank,Encinitas,CA,882652,770996,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_754068,IN_V5,"exact: C3bank, National Association",OCC,,2026-06-10
SKYONE FEDERAL CREDIT UNION,Credit Union,Hawthorne,CA,875824,731080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1017087,IN_V5,core match: SKYONE,NCUA,,2026-06-10
FIRST COMMERCIAL BANK (USA),Bank,Alhambra,CA,871581,670130,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2332910,IN_V5,exact: First Commercial Bank (USA),FDIC,,2026-06-10
OCEANAIR FEDERAL CREDIT UNION,Credit Union,Oxnard,CA,870760,683443,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_318684,NEW_GAP,,NCUA,,2026-06-10
NANO BANC,Bank,Irvine,CA,859584,789703,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3635029,IN_V5,exact: Nano Banc,FED,,2026-06-10
SACRAMENTO CREDIT UNION,Credit Union,Sacramento,CA,851939,719015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_734293,NEW_GAP,,NCUA,,2026-06-10
1ST NORTHERN CALIFORNIA CREDIT UNION,Credit Union,Martinez,CA,825393,718336,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_11387,NEW_GAP,,NCUA,,2026-06-10
AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,CA,818406,725964,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_773386,IN_V5,core match: AMERICA'S CHRISTIAN,NCUA,,2026-06-10
ENDEAVOR BANK,Bank,San Diego,CA,805315,709408,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5192496,IN_V5,exact: Endeavor Bank,FDIC,,2026-06-10
BAC COMMUNITY BANK,Bank,Stockton,CA,780102,684849,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5461,IN_V5,exact: BAC Community Bank,FDIC,,2026-06-10
MISSION VALLEY BANK,Bank,Sun Valley,CA,772560,632141,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3039636,IN_V5,exact: Mission Valley Bank,FDIC,,2026-06-10
FOOTHILL FEDERAL CREDIT UNION,Credit Union,Arcadia,CA,772237,668508,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_333182,IN_V5,core match: FOOTHILL,NCUA,,2026-06-10
BANK OF SAN FRANCISCO,Bank,San Francisco,CA,767510,670003,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3357385,IN_V5,exact: Bank of San Francisco,FDIC,,2026-06-10
RIVER VALLEY COMMUNITY BANK,Bank,Yuba City,CA,764212,670456,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3451050,IN_V5,exact: River Valley Community Bank,FDIC,,2026-06-10
THE FIRST FINANCIAL FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,746456,725371,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_144089,IN_V5,core match: THE FIRST FINANCIAL,NCUA,,2026-06-10
UNCLE CREDIT UNION,Credit Union,Livermore,CA,738043,663677,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_363693,NEW_GAP,,NCUA,,2026-06-10
USC CREDIT UNION,Credit Union,Los Angeles,CA,719189,631164,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_240084,IN_V5,core match: USC,NCUA,,2026-06-10
MYPOINT CREDIT UNION,Credit Union,San Diego,CA,701059,585195,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_568274,NEW_GAP,,NCUA,,2026-06-10
GBC INTERNATIONAL BANK,Bank,Los Angeles,CA,676588,522816,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_972769,IN_V5,exact: GBC International Bank,FDIC,,2026-06-10
PREMIER ONE CREDIT UNION,Credit Union,San Jose,CA,656413,558082,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_197384,NEW_GAP,,NCUA,,2026-06-10
PACIFIC VALLEY BANK,Bank,Salinas,CA,627944,546200,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3293540,IN_V5,exact: Pacific Valley Bank,FDIC,,2026-06-10
COMMONWEALTH CENTRAL CREDIT UNION,Credit Union,San Jose,CA,626858,533064,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37994,NEW_GAP,,NCUA,,2026-06-10
EXCITE CREDIT UNION,Credit Union,San Jose,CA,615237,576946,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550288,NEW_GAP,,NCUA,,2026-06-10
PARTNERS BANK OF CALIFORNIA,Bank,Mission Viejo,CA,614543,482189,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3655933,IN_V5,exact: Partners Bank of California,FDIC,,2026-06-10
I.L.W.U. FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,601927,546856,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1875157,IN_V5,core match: I.L.W.U.,NCUA,,2026-06-10
GOLDEN VALLEY BANK,Bank,Chico,CA,577734,525767,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3440803,IN_V5,exact: Golden Valley Bank,FDIC,,2026-06-10
CABRILLO CREDIT UNION,Credit Union,San Diego,CA,571809,511775,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_198783,NEW_GAP,,NCUA,,2026-06-10
FIRST U.S. COMMUNITY CREDIT UNION,Credit Union,Sacramento,CA,554171,490051,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1016370,NEW_GAP,,NCUA,,2026-06-10
DEUTSCHE BANK NATIONAL TRUST COMPANY,Non-Depository Trust Bank,Los Angeles,CA,553623,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_670560,NEW_GAP,,,Non-depository trust bank per ibanknet,2026-06-10
REDWOOD CAPITAL BANK,Bank,Eureka,CA,543402,484145,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3247589,IN_V5,exact: Redwood Capital Bank,FDIC,,2026-06-10
"NEW OMNI BANK, NATIONAL ASSOCIATION",Bank,Alhambra,CA,515271,371245,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_300063,IN_V5,"exact: New OMNI Bank, National Association",OCC,,2026-06-10
MEGA BANK,Bank,San Gabriel,CA,515129,437435,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3690635,IN_V5,exact: Mega Bank,FDIC,,2026-06-10
FIRST CREDIT BANK,Bank,West Hollywood,CA,504745,257910,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5069,IN_V5,exact: First Credit Bank,FDIC,,2026-06-10
FIRST PACIFIC BANK,Bank,Whittier,CA,489849,409799,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3470930,IN_V5,exact: First Pacific Bank,FED,,2026-06-10
"CHINO COMMERCIAL BANK, N.A.",Bank,Chino,CA,465786,388102,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2925620,IN_V5,"exact: Chino Commercial Bank, N.A.",OCC,,2026-06-10
WHEELHOUSE CREDIT UNION,Credit Union,San Diego,CA,456771,400445,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_393298,NEW_GAP,,NCUA,,2026-06-10
PACIFIC ALLIANCE BANK,Bank,San Gabriel,CA,450670,366529,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3546862,IN_V5,exact: Pacific Alliance Bank,FDIC,,2026-06-10
GAIN FEDERAL CREDIT UNION,Credit Union,Burbank,CA,439329,409985,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_256571,IN_V5,core match: GAIN,NCUA,,2026-06-10
MOCSE FEDERAL CREDIT UNION,Credit Union,Modesto,CA,430486,396495,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_169381,NEW_GAP,,NCUA,,2026-06-10
AEROSPACE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,422785,326934,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792284,IN_V5,core match: AEROSPACE,NCUA,,2026-06-10
GLENDALE AREA SCHOOLS CREDIT UNION,Credit Union,Glendale,CA,421655,364073,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_172279,IN_V5,core match: GLENDALE AREA SCHOOLS,NCUA,,2026-06-10
COMMUNITY COMMERCE BANK,Industrial Loan Company,Claremont,CA,413501,311987,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_299868,IN_V5,exact: Community Commerce Bank,FDIC,Industrial Loan Company (ILC) per ibanknet,2026-06-10
EAGLE COMMUNITY CREDIT UNION,Credit Union,Lake Forest,CA,411441,365601,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_610294,IN_V5,core match: EAGLE COMMUNITY,NCUA,,2026-06-10
YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,CA,410982,344210,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_286680,NEW_GAP,,NCUA,,2026-06-10
BALBOA THRIFT AND LOAN ASSOCIATION,Industrial Loan Company,Chula Vista,CA,408010,361152,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_696168,IN_V5,exact: Balboa Thrift and Loan Association,FDIC,Industrial Loan Company (ILC) per ibanknet,2026-06-10
GENESIS BANK,Bank,Newport Beach,CA,405513,356609,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5620869,IN_V5,exact: Genesis Bank,FDIC,,2026-06-10
COMMUNITY BANK OF SANTA MARIA,Bank,Santa Maria,CA,405124,357053,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2997216,IN_V5,exact: Community Bank of Santa Maria,FDIC,,2026-06-10
CAHP CREDIT UNION,Credit Union,Sacramento,CA,403972,365689,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_839899,IN_V5,exact: CAHP Credit Union,NCUA,,2026-06-10
POPA FEDERAL CREDIT UNION,Credit Union,Cerritos,CA,399420,355946,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_139281,IN_V5,core match: POPA,NCUA,,2026-06-10
"LIBERTY BANK, NATIONAL ASSOCIATION",Bank,Irvine,CA,396466,336353,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2907439,IN_V5,"exact: Liberty Bank, National Association",OCC,,2026-06-10
INFINITY BANK,Bank,Santa Ana,CA,392898,343655,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5193989,IN_V5,exact: Infinity Bank,FDIC,,2026-06-10
SEA WEST COAST GUARD FEDERAL CREDIT UNION,Credit Union,Oakland,CA,381797,304015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_579887,NEW_GAP,,NCUA,,2026-06-10
PASADENA FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,381308,329246,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_790879,IN_V5,core match: PASADENA,NCUA,,2026-06-10
AMERICAN CONTINENTAL BANK,Bank,City Of Industry,CA,379100,311254,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3216316,IN_V5,exact: American Continental Bank,FDIC,,2026-06-10
UNIVERSAL BANK,Savings Institution (Federal Savings Bank),West Covina,CA,373408,278512,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_208570,IN_V5,exact: Universal Bank,OCC,,2026-06-10
MATADORS COMMUNITY CREDIT UNION,Credit Union,Northridge,CA,359948,316715,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_391481,IN_V5,core match: MATADORS COMMUNITY,NCUA,,2026-06-10
MURPHY BANK,Bank,Fresno,CA,359587,297968,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_855563,IN_V5,exact: Murphy Bank,FDIC,,2026-06-10
MONTEREY CREDIT UNION,Credit Union,Monterey,CA,356957,316246,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_940188,NEW_GAP,,NCUA,,2026-06-10
STRATA FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,345954,293851,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_237776,NEW_GAP,,NCUA,,2026-06-10
SAG-AFTRA FEDERAL CREDIT UNION,Credit Union,Burbank,CA,340595,293663,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_141985,IN_V5,core match: SAG-AFTRA,NCUA,,2026-06-10
TUCOEMAS FEDERAL CREDIT UNION,Credit Union,Visalia,CA,336861,305226,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_814672,NEW_GAP,,NCUA,,2026-06-10
UME FEDERAL CREDIT UNION,Credit Union,Burbank,CA,334142,303870,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_439477,IN_V5,core match: UME,NCUA,,2026-06-10
DOWNEY FEDERAL CREDIT UNION,Credit Union,Downey,CA,331199,268047,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_952985,IN_V5,core match: DOWNEY,NCUA,,2026-06-10
FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,Credit Union,Hanford,CA,328114,261901,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_310585,NEW_GAP,,NCUA,,2026-06-10
SANTA BARBARA TEACHERS FEDERAL CREDIT UNION,Credit Union,Santa Barbara,CA,309564,266368,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_192679,NEW_GAP,,NCUA,,2026-06-10
BANK IRVINE,Bank,Irvine,CA,306521,236001,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5788705,IN_V5,exact: Bank Irvine,FDIC,,2026-06-10
MONTEREY COUNTY BANK,Bank,Monterey,CA,297799,219207,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_297761,IN_V5,exact: Monterey County Bank,FDIC,,2026-06-10
"GATEWAY BANK, F.S.B.",Savings Institution (Federal Savings Bank),Oakland,CA,286530,202316,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1493319,IN_V5,"exact: Gateway Bank, F.S.B.",OCC,,2026-06-10
HERITAGE COMMUNITY CREDIT UNION,Credit Union,Rancho Cordova,CA,282600,252119,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_297387,NEW_GAP,,NCUA,,2026-06-10
LONG BEACH CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Signal Hill,CA,279271,235285,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_386674,IN_V5,core match: LONG BEACH CITY EMPLOYEES,NCUA,,2026-06-10
EDWARDS FEDERAL CREDIT UNION,Credit Union,Edwards,CA,278913,255937,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_656984,IN_V5,core match: EDWARDS,NCUA,,2026-06-10
SUMMIT BANK,Bank,Oakland,CA,270191,211474,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_351560,IN_V5,exact: Summit Bank (Oakland),FDIC,,2026-06-10
CENTRAL STATE CREDIT UNION,Credit Union,Stockton,CA,255165,208593,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_82499,NEW_GAP,,NCUA,,2026-06-10
HOME BANK OF CALIFORNIA,Bank,San Diego,CA,254901,193199,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_118660,IN_V5,exact: Home Bank of California,FDIC,,2026-06-10
MISSION NATIONAL BANK,Bank,San Francisco,CA,249156,206588,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_519360,IN_V5,exact: Mission National Bank,OCC,,2026-06-10
SRI FEDERAL CREDIT UNION,Credit Union,Menlo Park,CA,242087,201855,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_702386,NEW_GAP,,NCUA,,2026-06-10
CORAZO CREDIT UNION,Credit Union,El Centro,CA,241842,206427,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_222875,NEW_GAP,,NCUA,,2026-06-10
F3 CREDIT UNION,Credit Union,San Jose,CA,239383,199702,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_817691,NEW_GAP,,NCUA,,2026-06-10
METROPOLITAN BANK,Bank,Oakland,CA,231773,196224,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_534466,IN_V5,exact: Metropolitan Bank (Oakland),FDIC,,2026-06-10
NEIGHBORHOOD NATIONAL BANK,Bank,El Cajon,CA,230154,187264,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2333140,IN_V5,exact: Neighborhood National Bank,OCC,,2026-06-10
CHAFFEY FEDERAL CREDIT UNION,Credit Union,Upland,CA,229064,201756,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_622185,IN_V5,core match: CHAFFEY,NCUA,,2026-06-10
CAPITAL BANK AND TRUST COMPANY,Savings Institution (Federal Savings Bank),Irvine,CA,226431,500,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2921659,IN_V5,exact: Capital Bank and Trust Company,OCC,,2026-06-10
CLEARPATH FEDERAL CREDIT UNION,Credit Union,Burbank,CA,224391,200222,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_80383,IN_V5,core match: CLEARPATH,NCUA,,2026-06-10
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,Savings Institution (Federal Savings Bank),San Rafael,CA,219992,176372,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_229070,NEW_GAP,,OCC,,2026-06-10
ALTA VISTA CREDIT UNION,Credit Union,Redlands,CA,211726,191615,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_7296,IN_V5,core match: ALTA VISTA,NCUA,,2026-06-10
MERCO CREDIT UNION,Credit Union,Merced,CA,207012,179941,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931597,NEW_GAP,,NCUA,,2026-06-10
PRIORITY ONE CREDIT UNION,Credit Union,South Pasadena,CA,205737,179056,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_605599,IN_V5,core match: PRIORITY ONE,NCUA,,2026-06-10
LONG BEACH FIREMEN S CREDIT UNION,Credit Union,Long Beach,CA,204273,145634,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_423793,IN_V5,core match: LONG BEACH FIREMEN S,NCUA,,2026-06-10
SCHOOLS FEDERAL CREDIT UNION,Credit Union,Torrance,CA,192652,168328,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935773,IN_V5,core match: SCHOOLS,NCUA,,2026-06-10
UNITED PACIFIC BANK,Bank,City Of Industry,CA,187114,152984,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_609467,IN_V5,exact: United Pacific Bank,FDIC,,2026-06-10
HATCH BANK,Industrial Loan Company,San Marcos,CA,186754,57074,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_733661,IN_V5,exact: Hatch Bank,FDIC,Industrial Loan Company (ILC) per ibanknet,2026-06-10
BEACH CITIES COMMERCIAL BANK,Bank,Irvine,CA,182473,139564,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5805424,IN_V5,exact: Beach Cities Commercial Bank,FDIC,,2026-06-10
COMPASS COMMUNITY CREDIT UNION,Credit Union,Eureka,CA,180859,159219,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_755999,NEW_GAP,,NCUA,,2026-06-10
CAMINO FEDERAL CREDIT UNION,Credit Union,Montebello,CA,179244,150979,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209278,IN_V5,core match: CAMINO,NCUA,,2026-06-10
E-CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,174544,132287,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_840493,IN_V5,core match: E-CENTRAL,NCUA,,2026-06-10
SANTA CRUZ COMMUNITY CREDIT UNION,Credit Union,Santa Cruz,CA,174346,150260,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_162494,NEW_GAP,,NCUA,,2026-06-10
SAN JOAQUIN POWER EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,173280,145080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_981891,NEW_GAP,,NCUA,,2026-06-10
VIDA FEDERAL CREDIT UNION,Credit Union,Ontario,CA,172659,148667,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_6486,IN_V5,core match: VIDA,NCUA,,2026-06-10
"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",Bank,San Francisco,CA,167555,128050,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_403067,IN_V5,"core match: Beacon Business Bank, N.A.",OCC,,2026-06-10
SOUTH BAY CREDIT UNION,Credit Union,Redondo Beach,CA,164333,146169,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_810599,IN_V5,core match: SOUTH BAY,NCUA,,2026-06-10
MISSION CITY FEDERAL CREDIT UNION,Credit Union,Santa Clara,CA,164299,141029,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_694986,NEW_GAP,,NCUA,,2026-06-10
KINGS FEDERAL CREDIT UNION,Credit Union,Hanford,CA,162876,136536,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852487,NEW_GAP,,NCUA,,2026-06-10
TORRANCE COMMUNITY FEDERAL CREDIT UNION,Credit Union,Torrance,CA,160035,147984,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_497280,IN_V5,core match: TORRANCE COMMUNITY,NCUA,,2026-06-10
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Bank,Whittier,CA,158847,131032,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209362,IN_V5,"exact: Bank of Whittier, National Association",OCC,,2026-06-10
CALIFORNIA LITHUANIAN CREDIT UNION,Credit Union,Santa Monica,CA,157864,126196,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1002690,IN_V5,core match: CALIFORNIA LITHUANIAN,NCUA,,2026-06-10
ICON BUSINESS BANK,Bank,Riverside,CA,156656,124737,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5805228,IN_V5,exact: Icon Business Bank,FDIC,,2026-06-10
TULARE COUNTY FEDERAL CREDIT UNION,Credit Union,Tulare,CA,156588,142040,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_613875,NEW_GAP,,NCUA,,2026-06-10
SAN DIEGO FIREFIGHTERS FEDERAL CREDIT UNION,Credit Union,San Diego,CA,151718,140134,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_231699,NEW_GAP,,NCUA,,2026-06-10
EAST COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,El Cajon,CA,147542,132714,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_639688,NEW_GAP,,NCUA,,2026-06-10
SISKIYOU CREDIT UNION,Credit Union,Yreka,CA,144716,134011,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961192,NEW_GAP,,NCUA,,2026-06-10
INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,CA,135352,119195,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_827476,IN_V5,core match: INTERFAITH,NCUA,,2026-06-10
