Name,Type,City,State,Assets,Deposits,ibanknet_URL,v5_status,Match_note,Regulator,Source_note,Retrieval_date
RIVER CITY BANK,Bank,Sacramento,CA,6047747,5386542,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_253468,IN_V5,exact: River City Bank,FDIC,,2026-06-10
FREMONT BANK,Bank,Fremont,CA,5915963,5269655,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_739560,IN_V5,exact: Fremont Bank,FDIC,,2026-06-10
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Bank,Lodi,CA,5836466,5120775,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_808260,IN_V5,exact: Farmers & Merchants Bank of Central California,FDIC,,2026-06-10
WESTAMERICA BANK,Bank,San Rafael,CA,5827278,4788155,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_697763,IN_V5,exact: Westamerica Bank,FED,,2026-06-10
TRAVIS CREDIT UNION,Credit Union,Vacaville,CA,5687904,4734336,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_212586,IN_V5,exact: Travis Credit Union,NCUA,,2026-06-10
HERITAGE BANK OF COMMERCE,Bank,San Jose,CA,5670019,4821348,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2209553,IN_V5,exact: Heritage Bank of Commerce,FED,,2026-06-10
CHEVRON FEDERAL CREDIT UNION,Credit Union,Concord,CA,5440107,4770863,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_414894,IN_V5,core match: CHEVRON,NCUA,,2026-06-10
CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,CA,5413638,4866121,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_234597,IN_V5,core match: CALIFORNIA,NCUA,,2026-06-10
EDUCATIONAL EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,5376699,4616425,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_504898,NEW_GAP,,NCUA,,2026-06-10
CTBC BANK CORP. (USA),Bank,Los Angeles,CA,5369932,4546301,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996260,IN_V5,exact: CTBC Bank Corp. (USA),FDIC,,2026-06-10
FIVE STAR BANK,Bank,Roseville,CA,5031561,4480237,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2867337,IN_V5,exact: Five Star Bank,FDIC,,2026-06-10
BANK OF STOCKTON,Bank,Stockton,CA,4834846,3754998,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_479268,IN_V5,exact: Bank of Stockton,FDIC,,2026-06-10
STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,CA,4800514,3709005,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_640880,NEW_GAP,,NCUA,,2026-06-10
TECHNOLOGY CREDIT UNION,Credit Union,San Jose,CA,4655194,3762517,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_171889,IN_V5,exact: Technology Credit Union (Tech CU),NCUA,,2026-06-10
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",Non-Depository Trust Bank,San Francisco,CA,4520258,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1444021,NEW_GAP,,,Non-depository trust bank per ibanknet,2026-06-10
SAFE CREDIT UNION,Credit Union,Folsom,CA,4451527,3990691,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_324779,IN_V5,exact: SAFE Credit Union,NCUA,,2026-06-10
AMERICAN BUSINESS BANK,Bank,Los Angeles,CA,4371214,3904079,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2734729,IN_V5,exact: American Business Bank,FDIC,,2026-06-10
ROYAL BUSINESS BANK,Bank,Los Angeles,CA,4186507,3385924,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3835454,IN_V5,exact: Royal Business Bank,FDIC,,2026-06-10
VALLEY STRONG CREDIT UNION,Credit Union,Bakersfield,CA,4074429,3642703,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_511579,NEW_GAP,,NCUA,,2026-06-10
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,CA,4046537,3402697,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3076453,IN_V5,"exact: California Bank of Commerce, National Association",OCC,,2026-06-10
"CREDIT UNION OF SOUTHERN CA, A",Credit Union,Anaheim,CA,3942854,3110791,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_47489,IN_V5,"exact: CREDIT UNION OF SOUTHERN CA, A",NCUA,,2026-06-10
NUVISION FEDERAL CREDIT UNION,Credit Union,Huntington Beac,CA,3935777,3297429,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_973775,IN_V5,core match: NUVISION,NCUA,,2026-06-10
BANK OF MARIN,Bank,Novato,CA,3913468,3458796,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1436204,IN_V5,exact: Bank of Marin,FDIC,,2026-06-10
COMMERCIAL BANK OF CALIFORNIA,Bank,Irvine,CA,3899410,3390468,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3189063,IN_V5,exact: Commercial Bank of California,FDIC,,2026-06-10
BANK OF THE SIERRA,Bank,Porterville,CA,3751904,2932864,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_662369,IN_V5,exact: Bank of the Sierra,FDIC,,2026-06-10
COMMUNITY WEST BANK,Bank,Fresno,CA,3697225,3147540,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_703767,IN_V5,exact: Community West Bank,FDIC,,2026-06-10
PROVIDENT CREDIT UNION,Credit Union,Redwood City,CA,3625344,3191602,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_629090,IN_V5,exact: Provident Credit Union,NCUA,,2026-06-10
CALIFORNIA COAST CREDIT UNION,Credit Union,San Diego,CA,3469511,3058434,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_471196,IN_V5,exact: California Coast Credit Union,NCUA,,2026-06-10
PCB BANK,Bank,Los Angeles,CA,3395119,2898675,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3212402,IN_V5,exact: PCB Bank,FDIC,,2026-06-10
PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,CA,3313106,2934356,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_96487,IN_V5,exact: Premier America Credit Union,NCUA,,2026-06-10
EXCHANGE BANK,Bank,Santa Rosa,CA,3266467,2837604,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_507068,IN_V5,exact: Exchange Bank,FDIC,,2026-06-10
ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,3074686,2584116,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_980698,IN_V5,core match: ORANGE COUNTY'S,NCUA,,2026-06-10
F & A FEDERAL CREDIT UNION,Credit Union,Monterey Park,CA,3056610,2052654,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_304070,IN_V5,exact: F&A Federal Credit Union,NCUA,,2026-06-10
ARROWHEAD FEDERAL CREDIT UNION,Credit Union,Rancho Cucamong,CA,2905839,2404987,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_498894,IN_V5,core match: ARROWHEAD,NCUA,,2026-06-10
WEST COAST COMMUNITY BANK,Bank,Santa Cruz,CA,2895001,2476069,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3235410,IN_V5,exact: West Coast Community Bank,FDIC,,2026-06-10
PARTNERS FEDERAL CREDIT UNION,Credit Union,Burbank,CA,2799230,2446780,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_761486,IN_V5,core match: PARTNERS,NCUA,,2026-06-10
OPEN BANK,Bank,Los Angeles,CA,2699382,2328101,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3357219,IN_V5,exact: Open Bank,FDIC,,2026-06-10
CALPRIVATE BANK,Bank,La Jolla,CA,2693463,2375837,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3545258,IN_V5,exact: CalPrivate Bank,FDIC,,2026-06-10
ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,CA,2665893,2386844,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_866792,IN_V5,core match: ALTURA,NCUA,,2026-06-10
UNITED BUSINESS BANK,Bank,Walnut Creek,CA,2632362,2267047,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3281510,IN_V5,exact: United Business Bank,FED,,2026-06-10
AVIDBANK,Bank,San Jose,CA,2572193,2202730,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3214059,IN_V5,exact: Avidbank,FDIC,,2026-06-10
"EL DORADO SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Placerville,CA,2472114,2126939,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961576,IN_V5,"exact: El Dorado Savings Bank, F.S.B.",OCC,,2026-06-10
FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,2470349,2221334,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_475895,IN_V5,core match: FIREFIGHTERS FIRST,NCUA,,2026-06-10
COAST CENTRAL CREDIT UNION,Credit Union,Eureka,CA,2322103,2060772,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_657897,NEW_GAP,"Fuzzy hit on v5 ""E-CENTRAL"" rejected - different institution",NCUA,,2026-06-10
FINANCIAL PARTNERS CREDIT UNION,Credit Union,Downey,CA,2247379,1787836,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1013379,IN_V5,exact: Financial Partners Credit Union,NCUA,,2026-06-10
PLUMAS BANK,Bank,Quincy,CA,2199524,1778694,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_670467,IN_V5,exact: Plumas Bank,FED,,2026-06-10
LBS FINANCIAL CREDIT UNION,Credit Union,Long Beach,CA,2191341,1897558,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935072,IN_V5,exact: LBS Financial Credit Union,NCUA,,2026-06-10
CALTECH EMPLOYEES FEDERAL CREDIT UNION,Credit Union,La Canada,CA,2176332,1611118,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_39082,IN_V5,core match: CALTECH EMPLOYEES,NCUA,,2026-06-10
MERIWEST CREDIT UNION,Credit Union,San Jose,CA,2163597,1753530,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_537681,NEW_GAP,,NCUA,,2026-06-10
FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,CA,2122096,1713776,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_425489,IN_V5,core match: FIRST ENTERTAINMENT,NCUA,,2026-06-10
MONTECITO BANK & TRUST,Bank,Santa Barbara,CA,2036398,1793788,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_514066,IN_V5,exact: Montecito Bank & Trust,FDIC,,2026-06-10
OAK VALLEY COMMUNITY BANK,Bank,Oakdale,CA,2009991,1781504,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1864197,IN_V5,exact: Oak Valley Community Bank,FED,,2026-06-10
COMMONWEALTH BUSINESS BANK,Bank,Los Angeles,CA,1990854,1686692,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3337097,IN_V5,exact: Commonwealth Business Bank (CBB),FED,,2026-06-10
BENEFICIAL STATE BANK,Bank,Oakland,CA,1973803,1655342,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3608751,IN_V5,exact: Beneficial State Bank,FDIC,,2026-06-10
FIRST NORTHERN BANK OF DIXON,Bank,Dixon,CA,1924057,1695551,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_783161,IN_V5,exact: First Northern Bank of Dixon,FDIC,,2026-06-10
MONTERRA CREDIT UNION,Credit Union,Redwood City,CA,1920135,1654172,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996091,NEW_GAP,,NCUA,,2026-06-10
MISSION BANK,Bank,Bakersfield,CA,1919385,1684433,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2736714,IN_V5,exact: Mission Bank,FED,,2026-06-10
BAY FEDERAL CREDIT UNION,Credit Union,Capitola,CA,1892475,1693650,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_280688,NEW_GAP,,NCUA,,2026-06-10
COASTHILLS FEDERAL CREDIT UNION,Credit Union,Santa Maria,CA,1765233,1489558,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_127587,NEW_GAP,,NCUA,,2026-06-10
FRONTWAVE CREDIT UNION,Credit Union,Oceanside,CA,1764704,1446543,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_514785,IN_V5,exact: Frontwave Credit Union,NCUA,,2026-06-10
KEYPOINT CREDIT UNION,Credit Union,San Jose,CA,1701238,1403675,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550091,NEW_GAP,,NCUA,,2026-06-10
NORTHROP GRUMMAN FEDERAL CREDIT UNION,Credit Union,Gardena,CA,1653498,1492015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_619194,IN_V5,core match: NORTHROP GRUMMAN,NCUA,,2026-06-10
OPERATING ENGINEERS LOCAL UNION #3 FEDERAL CREDIT UNION,Credit Union,Livermore,CA,1650775,1402578,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_63993,IN_V5,core match: OPERATING ENGINEERS LOCAL UNION #3,NCUA,,2026-06-10
SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,CA,1604300,1454032,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770497,NEW_GAP,,NCUA,,2026-06-10
SAN FRANCISCO FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,1582268,1194502,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_642594,NEW_GAP,"Not the same as v5 ""Bank of San Francisco"" - different institution",NCUA,,2026-06-10
FFB BANK,Bank,Fresno,CA,1571464,1345950,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3398623,IN_V5,exact: FFB Bank,FDIC,,2026-06-10
US METRO BANK,Bank,Garden Grove,CA,1563129,1362873,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3470154,IN_V5,exact: US Metro Bank,FDIC,,2026-06-10
SIERRA CENTRAL CREDIT UNION,Credit Union,Yuba City,CA,1496982,1339334,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_581992,NEW_GAP,,NCUA,,2026-06-10
NOBLE FEDERAL CREDIT UNION,Credit Union,Fresno,CA,1494031,1139517,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_575290,NEW_GAP,,NCUA,,2026-06-10
VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,CA,1467597,1303082,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_987286,NEW_GAP,,NCUA,,2026-06-10
CHRISTIAN COMMUNITY CREDIT UNION,Credit Union,San Dimas,CA,1443573,1236810,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_604293,IN_V5,exact: Christian Community Credit Union (AdelFi),NCUA,,2026-06-10
MALAGA BANK F.S.B.,Savings Institution (Federal Savings Bank),Palos Verdes Estates,CA,1442083,940516,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_773470,IN_V5,exact: Malaga Bank F.S.B.,OCC,,2026-06-10
AMERICAN RIVIERA BANK,Bank,Santa Barbara,CA,1422849,1268061,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3388482,IN_V5,exact: American Riviera Bank,FDIC,,2026-06-10
LOS ANGELES POLICE FEDERAL CREDIT UNION,Credit Union,Van Nuys,CA,1402267,1265776,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_758495,IN_V5,core match: LOS ANGELES POLICE,NCUA,,2026-06-10
STATE BANK OF INDIA (CALIFORNIA),Bank,Los Angeles,CA,1394366,1189577,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_779968,IN_V5,exact: State Bank of India (California),FDIC,,2026-06-10
"THE BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION",Bank,Los Angeles,CA,1391736,1071,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_398668,IN_V5,"exact: The Bank of New York Mellon Trust Company, National Association",OCC,,2026-06-10
COLUMN NATIONAL ASSOCIATION,Bank,Chico,CA,1388684,1184551,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3435948,IN_V5,exact: Column National Association,OCC,,2026-06-10
FARMERS INSURANCE FEDERAL CREDIT UNION,Credit Union,Burbank,CA,1366674,1162631,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_772576,IN_V5,core match: FARMERS INSURANCE,NCUA,,2026-06-10
PACIFIC SERVICE CREDIT UNION,Credit Union,Concord,CA,1345715,1121940,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_673299,NEW_GAP,,NCUA,,2026-06-10
AMERICAN FIRST CREDIT UNION,Credit Union,Brea,CA,1310342,1155644,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_452186,IN_V5,core match: AMERICAN FIRST,NCUA,,2026-06-10
RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,CA,1309314,1060948,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_161086,IN_V5,core match: RIZE,NCUA,,2026-06-10
